Date de la mesure;Heure de la mesure;Valeur;Statut de la mesure;
01/04/2020;00:10;349000;R;
01/04/2020;00:20;298000;R;
01/04/2020;00:30;257000;R;
01/04/2020;00:40;252000;R;
01/04/2020;00:50;260000;R;
01/04/2020;01:00;301000;R;
01/04/2020;01:10;256000;R;
01/04/2020;01:20;240000;R;
01/04/2020;01:30;234000;R;
01/04/2020;01:40;240000;R;
01/04/2020;01:50;257000;R;
01/04/2020;02:00;334000;R;
01/04/2020;02:10;280000;R;
01/04/2020;02:20;250000;R;
01/04/2020;02:30;223000;R;
01/04/2020;02:40;238000;R;
01/04/2020;02:50;271000;R;
01/04/2020;03:00;253000;R;
01/04/2020;03:10;253000;R;
01/04/2020;03:20;260000;R;
01/04/2020;03:30;258000;R;
01/04/2020;03:40;342000;R;
01/04/2020;03:50;325000;R;
01/04/2020;04:00;275000;R;
01/04/2020;04:10;275000;R;
01/04/2020;04:20;298000;R;
01/04/2020;04:30;266000;R;
01/04/2020;04:40;258000;R;
01/04/2020;04:50;274000;R;
01/04/2020;05:00;313000;R;
01/04/2020;05:10;304000;R;
01/04/2020;05:20;308000;R;
01/04/2020;05:30;389000;R;
01/04/2020;05:40;352000;R;
01/04/2020;05:50;301000;R;
01/04/2020;06:00;321000;R;
01/04/2020;06:10;319000;R;
01/04/2020;06:20;305000;R;
01/04/2020;06:30;300000;R;
01/04/2020;06:40;300000;R;
01/04/2020;06:50;313000;R;
01/04/2020;07:00;333000;R;
01/04/2020;07:10;319000;R;
01/04/2020;07:20;314000;R;
01/04/2020;07:30;323000;R;
01/04/2020;07:40;402000;R;
01/04/2020;07:50;340000;R;
01/04/2020;08:00;339000;R;
01/04/2020;08:10;310000;R;
01/04/2020;08:20;307000;R;
01/04/2020;08:30;307000;R;
01/04/2020;08:40;306000;R;
01/04/2020;08:50;325000;R;
01/04/2020;09:00;320000;R;
01/04/2020;09:10;306000;R;
01/04/2020;09:20;315000;R;
01/04/2020;09:30;382000;R;
01/04/2020;09:40;350000;R;
01/04/2020;09:50;306000;R;
01/04/2020;10:00;347000;R;
01/04/2020;10:10;317000;R;
01/04/2020;10:20;318000;R;
01/04/2020;10:30;324000;R;
01/04/2020;10:40;326000;R;
01/04/2020;10:50;303000;R;
01/04/2020;11:00;344000;R;
01/04/2020;11:10;417000;R;
01/04/2020;11:20;370000;R;
01/04/2020;11:30;302000;R;
01/04/2020;11:40;306000;R;
01/04/2020;11:50;325000;R;
01/04/2020;12:00;353000;R;
01/04/2020;12:10;307000;R;
01/04/2020;12:20;305000;R;
01/04/2020;12:30;310000;R;
01/04/2020;12:40;305000;R;
01/04/2020;12:50;389000;R;
01/04/2020;13:00;407000;R;
01/04/2020;13:10;356000;R;
01/04/2020;13:20;321000;R;
01/04/2020;13:30;301000;R;
01/04/2020;13:40;357000;R;
01/04/2020;13:50;330000;R;
01/04/2020;14:00;364000;R;
01/04/2020;14:10;445000;R;
01/04/2020;14:20;308000;R;
01/04/2020;14:30;306000;R;
01/04/2020;14:40;325000;R;
01/04/2020;14:50;322000;R;
01/04/2020;15:00;329000;R;
01/04/2020;15:10;373000;R;
01/04/2020;15:20;412000;R;
01/04/2020;15:30;350000;R;
01/04/2020;15:40;300000;R;
01/04/2020;15:50;308000;R;
01/04/2020;16:00;323000;R;
01/04/2020;16:10;304000;R;
01/04/2020;16:20;323000;R;
01/04/2020;16:30;358000;R;
01/04/2020;16:40;414000;R;
01/04/2020;16:50;339000;R;
01/04/2020;17:00;316000;R;
01/04/2020;17:10;311000;R;
01/04/2020;17:20;323000;R;
01/04/2020;17:30;305000;R;
01/04/2020;17:40;300000;R;
01/04/2020;17:50;356000;R;
01/04/2020;18:00;409000;R;
01/04/2020;18:10;320000;R;
01/04/2020;18:20;314000;R;
01/04/2020;18:30;305000;R;
01/04/2020;18:40;306000;R;
01/04/2020;18:50;309000;R;
01/04/2020;19:00;327000;R;
01/04/2020;19:10;361000;R;
01/04/2020;19:20;387000;R;
01/04/2020;19:30;296000;R;
01/04/2020;19:40;287000;R;
01/04/2020;19:50;311000;R;
01/04/2020;20:00;322000;R;
01/04/2020;20:10;293000;R;
01/04/2020;20:20;317000;R;
01/04/2020;20:30;307000;R;
01/04/2020;20:40;365000;R;
01/04/2020;20:50;402000;R;
01/04/2020;21:00;342000;R;
01/04/2020;21:10;297000;R;
01/04/2020;21:20;294000;R;
01/04/2020;21:30;296000;R;
01/04/2020;21:40;304000;R;
01/04/2020;21:50;275000;R;
01/04/2020;22:00;300000;R;
01/04/2020;22:10;296000;R;
01/04/2020;22:20;335000;R;
01/04/2020;22:30;348000;R;
